x,y
0.16129032258064516, 0.0003430321592649311
0.3225806451612903, 0.0006370597243491577
0.6451612903225806, 0.0009555895865237367
1.129032258064516, 0.0012986217457886678
1.4516129032258065, 0.0016049004594180705
1.7741935483870968, 0.001886676875957121
2.258064516129032, 0.002180704441041348
2.4193548387096775, 0.002462480857580398
2.7419354838709675, 0.002781010719754977
3.064516129032258, 0.0030505359877488515
3.5483870967741935, 0.003356814701378254
3.870967741935484, 0.0036018376722817763
4.516129032258064, 0.003908116385911179
5, 0.004128637059724349
5.161290322580645, 0.004336906584992343
5.64516129032258, 0.004569678407350689
6.129032258064516, 0.004753445635528331
6.612903225806451, 0.004998468606431853
7.096774193548387, 0.005243491577335375
7.741935483870968, 0.005464012251148545
8.387096774193548, 0.005684532924961716
9.193548387096774, 0.005892802450229709
10.32258064516129, 0.0061990811638591116
11.129032258064516, 0.0064686064318529865
12.580645161290322, 0.006738131699846861
13.870967741935484, 0.007019908116385911
15.32258064516129, 0.0072894333843797855
17.580645161290324, 0.007534456355283308
19.516129032258064, 0.007705972434915774
21.612903225806452, 0.007889739663093415
23.709677419354836, 0.008024502297090352
26.612903225806452, 0.008122511485451761
29.677419354838708, 0.00822052067381317
32.41935483870968, 0.008257274119448698
36.29032258064516, 0.008294027565084227
39.67741935483871, 0.00831852986217458
44.03225806451613, 0.008306278713629402
47.25806451612903, 0.00831852986217458
51.61290322580645, 0.008330781010719756
54.516129032258064, 0.008330781010719756
60.32258064516129, 0.008330781010719756
64.19354838709677, 0.008343032159264931
68.38709677419355, 0.008343032159264931
72.41935483870968, 0.008343032159264931
79.83870967741936, 0.008343032159264931
84.6774193548387, 0.008343032159264931
89.83870967741936, 0.008343032159264931
94.19354838709677, 0.008330781010719756
99.35483870967742, 0.008343032159264931
104.03225806451613, 0.008343032159264931
108.70967741935483, 0.008343032159264931
112.25806451612902, 0.008343032159264931
116.77419354838709, 0.008343032159264931
122.74193548387096, 0.008330781010719756
127.09677419354838, 0.008330781010719756
131.29032258064515, 0.008330781010719756
135.16129032258064, 0.008343032159264931
138.38709677419354, 0.008343032159264931
143.38709677419354, 0.008343032159264931
